type,value,start_node,end_node
V,63,0,1
C,13,2,3
I,10,3,4
C,-82,4,5
R,-89,5,6
V,89,6,7
C,51,7,8
R,-27,8,9
V,86,9,10
R,48,10,11
C,-48,11,12
C,93,12,13
V,23,13,14
I,65,14,15
V,-16,15,16
R,-62,16,17
C,-59,17,18
C,-26,18,19
V,51,19,20
V,39,20,21
R,-34,21,22
I,17,22,23
C,10,23,24
R,-31,24,25
R,34,25,26
R,-53,26,27
C,73,27,28
R,65,28,29
I,-97,29,30
I,-79,30,31
C,29,31,32
V,-65,32,33
V,-98,33,34
R,-89,34,35
C,-45,35,36
C,-16,36,37
I,13,37,0
C,87,37,38
R,-4,39,40
R,-15,40,41
I,-95,41,42
C,-82,42,43
I,72,43,44
R,-93,44,45
C,7,45,46
V,-30,46,47
C,-29,47,48
R,-85,48,49
R,60,49,50
R,96,50,51
I,28,51,52
C,12,52,53
V,-75,53,54
C,-33,54,55
V,-28,55,56
C,-68,56,57
R,-13,57,58
R,-13,58,59
I,89,59,60
V,83,60,61
R,93,61,62
C,-54,62,63
I,-16,63,18
R,68,20,60
I,-70,50,61
V,57,24,52
R,-100,38,28
R,-61,63,42
I,16,5,1
I,42,44,0
I,64,37,27
R,-13,38,49
I,92,5,35
I,66,36,60
I,32,27,17
V,5,3,4
C,-31,48,12
I,51,58,14
I,22,15,51
I,-86,26,32
R,66,8,9
I,-68,27,40
V,16,0,47
V,81,40,32
V,36,9,14
C,40,36,28
I,33,4,48
V,-15,23,36
I,2,46,33
R,-29,6,44
V,26,19,24
V,32,30,21
C,20,51,53
I,-74,43,8
C,-70,55,44
I,14,31,52
I,85,22,63
C,76,43,62
I,91,3,52
V,9,23,49
R,15,39,54
I,-98,59,15
C,81,47,26
V,-28,44,28
C,25,22,54
I,13,62,5
V,-99,54,30
V,-82,15,56
R,41,27,8
C,-46,9,32
I,-45,14,42
V,96,48,19
R,-67,30,31
R,-95,56,47
V,-65,25,6
C,-75,55,16
R,23,61,10
I,-65,63,0
R,-80,62,54
C,7,53,31
C,20,23,27
I,62,11,24
I,-88,21,51
R,100,48,12
R,51,22,41
