type,value,start_node,end_node
V,15,0,1
R,59,2,3
I,13,3,4
I,7,4,5
V,35,5,6
R,100,6,7
I,95,7,8
I,39,8,9
R,60,9,10
C,31,10,11
V,64,11,12
V,66,12,13
R,41,13,14
V,30,14,15
R,70,15,16
R,68,16,17
V,41,17,18
V,80,18,19
I,45,19,20
I,51,20,21
C,97,21,22
V,42,22,23
I,53,23,24
V,91,24,25
V,70,25,26
V,72,26,27
C,10,27,28
I,60,28,29
I,30,29,30
I,72,30,31
V,40,31,32
I,93,32,33
C,20,33,34
C,64,34,35
V,48,35,36
I,33,36,37
V,44,37,38
V,11,38,39
R,51,39,40
V,26,40,41
C,47,41,42
V,35,42,43
V,7,43,44
C,98,44,45
V,3,45,46
C,6,46,47
R,61,47,48
C,38,48,49
C,19,49,50
I,42,50,51
V,4,51,52
R,12,52,53
R,60,53,54
I,30,54,55
C,95,55,56
V,72,56,57
R,34,57,58
V,55,58,59
R,92,59,60
V,64,60,61
V,32,61,62
V,42,62,63
I,86,63,64
C,18,64,65
C,27,65,66
C,17,66,67
R,85,67,68
C,28,68,69
R,80,69,70
I,63,70,71
C,34,71,72
I,11,72,73
V,54,73,74
I,57,74,75
C,21,75,76
R,100,76,77
R,45,77,78
V,13,78,79
I,31,79,80
C,68,80,81
R,68,81,82
R,43,82,83
R,86,83,84
C,45,84,85
I,39,85,86
R,81,86,87
R,97,87,88
R,18,88,89
C,65,89,90
V,63,90,91
V,76,91,92
R,54,92,93
V,26,93,94
R,14,94,95
I,44,95,96
V,99,96,97
I,18,97,98
R,75,98,99
C,46,99,100
V,34,100,101
V,20,101,102
R,17,102,103
I,84,103,104
R,38,104,105
R,54,105,106
C,26,106,107
I,81,107,108
I,19,108,109
R,62,109,110
I,44,110,111
V,6,111,112
R,75,112,113
I,36,113,114
V,8,114,115
R,94,115,116
C,78,116,117
C,26,117,118
V,94,118,119
I,34,119,120
I,53,120,121
V,83,121,122
C,96,122,123
V,75,123,124
C,7,124,125
C,58,125,126
V,33,126,127
C,72,127,128
I,79,128,129
V,26,129,130
R,57,130,131
R,100,131,132
R,12,132,133
I,56,133,134
C,97,134,135
R,9,135,136
I,8,136,137
R,29,137,138
I,93,138,139
C,63,139,140
V,65,140,141
C,7,141,142
C,25,142,143
C,62,143,144
C,11,144,145
R,54,145,146
I,76,146,147
V,87,147,148
C,80,148,149
C,14,149,150
R,3,150,151
R,83,151,152
V,60,152,153
V,47,153,154
I,25,154,0
V,81,51,155
V,81,156,157
V,51,157,158
C,14,158,159
I,47,159,160
R,68,160,161
I,5,161,162
R,26,162,163
V,61,163,164
C,80,164,165
I,50,165,166
R,81,166,167
V,83,167,168
C,16,168,169
V,50,169,170
R,96,170,171
R,32,171,172
R,90,172,173
I,33,173,174
V,68,174,175
C,82,175,176
C,63,176,177
R,15,177,178
R,72,178,179
I,70,179,180
C,40,180,181
R,12,181,182
I,26,182,183
C,80,183,184
R,16,184,185
R,91,185,186
R,25,186,187
C,49,187,188
R,22,188,189
I,34,189,190
V,26,190,191
V,59,191,192
C,18,192,193
I,58,193,194
I,12,194,195
V,73,195,196
R,47,196,197
V,37,197,198
C,65,198,199
C,28,199,200
V,68,200,201
V,47,201,202
I,89,202,203
V,81,203,204
V,38,204,205
R,32,205,206
R,36,206,207
I,33,207,208
C,92,208,209
V,49,209,210
C,89,210,211
C,86,211,212
I,28,212,213
V,59,213,214
C,60,214,215
C,100,215,216
I,91,216,217
C,65,217,218
I,74,218,219
C,68,219,220
C,18,220,221
R,8,221,222
R,44,222,223
C,58,223,224
I,86,224,225
I,63,225,226
R,18,226,227
R,38,227,228
I,43,228,229
R,16,229,230
R,62,230,231
C,94,231,232
V,40,232,233
I,41,233,234
V,65,234,235
C,94,235,236
R,10,236,237
V,82,237,238
R,84,238,239
I,10,239,240
R,71,240,241
V,44,241,242
I,16,242,243
I,9,243,244
C,86,244,245
C,65,245,246
C,49,246,247
C,66,247,248
I,13,248,249
R,41,249,250
C,51,250,251
R,61,251,252
C,13,252,253
V,44,253,254
C,18,254,255
V,24,255,112
R,7,227,97
R,7,165,231
V,72,13,176
V,64,215,187
R,61,25,244
V,87,191,240
V,44,39,99
C,4,216,59
V,67,22,113
V,24,41,224
C,91,65,17
C,28,219,121
V,76,130,43
V,41,53,123
V,15,200,108
I,99,49,4
I,35,179,221
I,25,98,212
C,87,57,109
I,74,0,75
V,5,118,108
I,36,250,23
C,7,7,175
C,18,48,9
I,27,235,180
R,69,111,251
C,22,141,190
I,68,209,32
I,58,23,255
I,88,210,188
R,26,210,124
V,5,44,229
C,100,88,244
I,49,61,247
R,92,43,27
C,88,130,73
C,69,13,219
C,78,33,138
I,61,77,204
R,100,200,203
I,87,234,8
C,36,65,34
R,100,101,127
V,65,88,138
R,62,241,106
V,30,61,74
R,11,179,117
C,78,147,113
R,34,142,179
R,69,182,165
I,72,172,202
V,82,11,245
V,89,210,228
I,33,158,57
I,39,248,83
V,47,114,10
C,13,98,45
C,83,135,177
R,96,66,53
I,4,11,15
V,73,158,222
C,63,11,158
I,6,192,170
R,89,229,17
R,62,101,174
C,91,179,210
C,53,95,60
C,9,48,63
V,58,157,173
I,61,225,93
C,22,167,179
I,65,112,59
C,75,85,225
C,29,174,138
R,41,94,217
R,16,150,37
C,20,58,66
R,62,186,114
R,80,195,200
C,90,113,186
I,8,193,50
V,99,35,107
R,98,135,236
R,82,217,241
I,18,74,133
R,78,28,135
V,3,7,157
I,87,114,20
V,27,35,78
R,65,218,90
C,77,102,117
I,55,179,198
V,50,152,201
I,49,117,1
R,47,205,87
V,73,106,242
R,50,190,222
V,100,149,157
I,80,102,83
R,30,241,51
R,8,188,85
C,41,221,79
R,14,236,58
V,69,253,246
C,98,170,190
R,54,57,136
R,30,12,101
I,46,176,189
V,24,153,248
I,79,62,201
C,25,201,222
V,56,175,20
V,14,137,155
V,13,159,116
C,71,207,249
V,23,27,101
V,62,137,177
R,87,57,103
C,74,20,115
C,56,166,111
R,8,163,41
